"DATE","PROTOCOL","VOLUME_USD","CUM_VOLUME_USD"
"2024-05-06 00:00:00.000","thala","8836113.81285","387576860.009063"
"2024-05-06 00:00:00.000","hippo","7515647.97261093","343446151.424437"
"2024-05-06 00:00:00.000","cellana","55127963.3783064","410286054.683799"
"2024-04-29 00:00:00.000","pancake","5383232.85856981","251853582.867628"
"2024-04-29 00:00:00.000","sushi","3617495.04797286","104851608.867885"
"2024-04-29 00:00:00.000","auxexchange","19030.143140168","1149078.45302136"
"2024-04-29 00:00:00.000","animeswap","8952.598837771","340711.58220062"
"2024-04-29 00:00:00.000","hippo","16042613.3512462","335930503.451826"
"2024-04-29 00:00:00.000","batswap","60070.368709659","7313941.56413265"
"2024-04-29 00:00:00.000","cellana","55874714.917704","355158091.305492"
"2024-04-29 00:00:00.000","cetus","14215.604866737","731775.726468987"
"2024-04-29 00:00:00.000","thala","17697467.785012","378740746.196213"
"2024-04-29 00:00:00.000","liquidswap","50607140.116188","662427363.546212"
"2024-04-22 00:00:00.000","hippo","7312501.26810558","319887890.10058"
"2024-04-22 00:00:00.000","cetus","11969.81243788","717560.12160225"
"2024-04-22 00:00:00.000","auxexchange","16239.485239054","1130048.3098812"
"2024-04-22 00:00:00.000","animeswap","6582.373676537","331758.983362849"
"2024-04-22 00:00:00.000","liquidswap","53386594.5625567","611820223.430024"
"2024-04-22 00:00:00.000","pancake","5622178.89729685","246470350.009058"
"2024-04-22 00:00:00.000","batswap","169700.735910997","7253871.19542299"
"2024-04-22 00:00:00.000","sushi","3326836.9828741","101234113.819912"
"2024-04-22 00:00:00.000","cellana","55537795.3097111","299283376.387788"
"2024-04-22 00:00:00.000","thala","14253192.8618237","361043278.411201"
"2024-04-15 00:00:00.000","batswap","119447.02779167","7084170.45951199"
"2024-04-15 00:00:00.000","hippo","14636092.5328862","312575388.832474"
"2024-04-15 00:00:00.000","animeswap","13529.573857881","325176.609686312"
"2024-04-15 00:00:00.000","liquidswap","58524804.056876","558433628.867467"
"2024-04-15 00:00:00.000","pancake","10463620.9670185","240848171.111762"
"2024-04-15 00:00:00.000","sushi","8001877.14399664","97907276.8370377"
"2024-04-15 00:00:00.000","auxexchange","32938.028906614","1113808.82464214"
"2024-04-15 00:00:00.000","cetus","28487.028915475","705590.30916437"
"2024-04-15 00:00:00.000","cellana","50966912.2735784","243745581.078077"
"2024-04-15 00:00:00.000","thala","21107320.3912579","346790085.549378"
"2024-04-08 00:00:00.000","thala","37330064.4056714","325682765.15812"
"2024-04-08 00:00:00.000","cetus","39635.812527178","677103.280248894"
"2024-04-08 00:00:00.000","auxexchange","48896.976409329","1080870.79573553"
"2024-04-08 00:00:00.000","animeswap","14357.775376843","311647.035828431"
"2024-04-08 00:00:00.000","batswap","317794.088298762","6964723.43172032"
"2024-04-08 00:00:00.000","hippo","22008997.4475197","297939296.299588"
"2024-04-08 00:00:00.000","pancake","16267024.267137","230384550.144743"
