SWAP_DATE,PLATFORM,TOTAL_SWAPS,UNIQUE_SWAPPERS,TOTAL_AMOUNT_IN,TOTAL_AMOUNT_OUT,UNIQUE_TOKENS_IN,UNIQUE_TOKENS_OUT,AVG_SWAPS_PER_USER,IMPLIED_FEE_PERCENTAGE
2024-08-24 00:00:00.000,pancake,4619,963,2603538378706252,2119387524911540,39,42,4.796469,0.185959
2024-08-24 00:00:00.000,hippo,4113,291,1950874866040771,435397049157431,33,32,14.134021,0.77682
2024-08-24 00:00:00.000,sushi,1442,304,2422216604279,2423207712044,10,8,4.743421,-0.000409
2024-08-24 00:00:00.000,auxexchange,309,134,5878422113,6036479653,11,13,2.30597,-0.026888
2024-08-24 00:00:00.000,cetus,267,16,8604720361,8680681548,10,11,16.6875,-0.008828
2024-08-24 00:00:00.000,animeswap,222,111,807144512363,1509396948570,19,17,2,-0.870045
2024-08-24 00:00:00.000,batswap,76,20,1198943177605709,674456268257619,14,12,3.8,0.437458
2024-08-23 00:00:00.000,cellana,22856,2283,6557781869194321,6606555231298258,17,17,10.011389,-0.007437
2024-08-23 00:00:00.000,liquidswap,22108,2470,183694019358285200,210816024660281400,50,59,8.950607,-0.147648
2024-08-23 00:00:00.000,thala,20178,654,691717927493245,854355396803922,18,16,30.853211,-0.235121
2024-08-23 00:00:00.000,pancake,7480,1333,2301969533511382,1975406613701455,38,37,5.611403,0.141862
2024-08-23 00:00:00.000,hippo,5234,332,4273713843299500,20497782868928450,30,29,15.76506,-3.796246
2024-08-23 00:00:00.000,sushi,2499,543,4353125060918,6294260876889,14,8,4.60221,-0.445918
2024-08-23 00:00:00.000,auxexchange,403,195,66866433486,16073139926,13,11,2.066667,0.759623
2024-08-23 00:00:00.000,cetus,388,43,11103899969,20836728117,9,10,9.023256,-0.876523
2024-08-23 00:00:00.000,animeswap,294,146,1806232740460,2513651374355,16,17,2.013699,-0.391654
2024-08-23 00:00:00.000,batswap,133,28,4756911512053367,333088340842661,15,11,4.75,0.929978
2024-08-22 00:00:00.000,cellana,25709,2819,7100256941756338,7043001872374803,17,17,9.119901,0.008064
2024-08-22 00:00:00.000,thala,16653,642,620962790368497,753198663218143,15,17,25.939252,-0.212953
